115	0	73.63	73.65	74.07		0
1240	0	73.47	73.39	73.74		0
2361	0	73.63	73.66	74.01		0
3482	0	73.50	73.44	73.82		0
4603	0	73.58	73.47	73.79		0
5725	0	73.79	73.58	74.04		0
6845	0	73.65	73.39	73.85		0
7967	0	73.76	73.49	73.85		0
9089	0	74.05	73.55	73.94		0
10215	0	73.93	73.44	73.86		0
11347	0	74.01	73.39	73.83		0
12469	0	74.29	73.65	73.93		0
13590	0	74.30	73.44	73.86		0
14711	0	74.32	73.39	73.88		0
15833	0	74.57	73.68	74.04		0
16954	0	74.59	73.41	73.77		0
18075	0	74.76	73.44	73.83		0
19196	0	75.01	73.61	74.08		0
20318	0	75.00	73.38	73.86		0
21439	0	75.06	73.52	73.88		0
22572	0	75.17	73.66	73.88		0
23692	0	75.44	73.54	73.93		0
24814	0	75.36	73.44	73.96		0
25935	0	75.55	73.60	73.99		0
27057	0	75.77	73.50	73.97		0
28178	0	75.75	73.47	73.88		0
29304	0	76.02	73.54	73.99		0
30426	0	75.85	73.44	73.83		0
31558	0	76.02	73.46	73.90		0
32679	0	76.13	73.50	73.86		0
33801	0	76.43	73.58	74.05		0
34922	0	76.32	73.46	73.85		0
36043	0	76.43	73.61	73.90		0
37165	0	76.65	73.61	74.01		0
38286	0	76.56	73.50	73.82		0
39407	0	76.73	73.60	73.99		0
40528	0	76.87	73.54	73.99		0
41650	0	76.83	73.54	73.85		0
42771	0	77.03	73.72	74.01		0
43892	0	77.08	73.52	73.99		0
45025	0	77.14	73.49	73.90		0
46146	0	77.27	73.52	73.86		0
47267	0	77.48	73.74	74.12		0
48394	0	77.30	73.52	73.86		0
49515	0	77.62	73.74	74.07		0
50648	0	77.52	73.69	73.94		0
51769	0	77.75	73.68	74.08		0
52890	0	77.62	73.57	73.90		0
54011	0	77.71	73.77	74.01		0
55133	0	77.90	73.68	73.97		0
56254	0	77.86	73.60	73.94		0
57375	0	78.08	73.77	74.13		0
58497	0	78.06	73.68	73.91		0
59618	0	78.13	73.63	73.94		0
60739	0	78.35	73.82	74.18		0
61860	0	78.53	73.93	74.19		0
62982	0	78.60	73.91	74.24		0
64103	0	78.60	73.99	74.21		0
115	0	78.84	74.02	74.29		0
1240	0	78.81	74.01	74.26		0
2377	0	78.84	73.96	74.27		0
3499	0	78.99	74.02	74.32		0
4620	0	78.97	74.01	74.35		0
5752	0	79.02	73.99	74.26		0
6874	0	79.02	73.99	74.23		0
7995	0	79.18	74.07	74.27		0
9116	0	79.21	74.04	74.26		0
10237	0	79.23	73.99	74.24		0
11359	0	79.34	74.02	74.29		0
12480	0	79.37	73.99	74.27		0
13601	0	79.50	74.05	74.26		0
14723	0	79.47	74.04	74.35		0
15844	0	79.61	73.99	74.27		0
16965	0	79.58	74.04	74.30		0
18086	0	79.72	74.05	74.32		0
19208	0	79.77	74.10	74.26		0
20329	0	79.84	74.15	74.38		0
21450	0	79.92	74.07	74.29		0
22577	0	79.98	74.13	74.32		0
23698	0	80.06	74.15	74.34		0
24842	0	80.17	74.18	74.37		0
25963	0	80.30	74.26	74.43		0
27084	0	80.33	74.21	74.41		0
28206	0	80.48	74.26	74.41		0
29327	0	80.53	74.24	74.46		0
30448	0	80.59	74.24	74.51		0
31569	0	80.80	74.23	74.48		0
32691	0	80.85	74.23	74.43		0
33812	0	80.90	74.27	74.43		0
34933	0	81.04	74.27	74.41		0
36055	0	81.22	74.29	74.46		0
37176	0	81.35	74.24	74.46		0
